tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_overall_elo,loser_overall_elo,overall_elo_difference,winner_grass_elo,loser_grass_elo,grass_elo_difference,winner_grass_win_pct,loser_grass_win_pct,winner_recent_form,loser_recent_form,higher_overall_elo_won,higher_grass_elo_won,winner_grass_first_serve_in_pct,winner_grass_first_serve_won_pct,winner_grass_second_serve_won_pct,winner_grass_ace_rate,loser_grass_first_serve_in_pct,loser_grass_first_serve_won_pct,loser_grass_second_serve_won_pct,loser_grass_ace_rate,tour
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,224.0,207989.0,3.0,,Carlos Alcaraz,R,183.0,ESP,21.1,106421.0,5.0,,Daniil Medvedev,R,198.0,RUS,28.3,6-7(1) 6-3 6-4 6-4,5.0,SF,175.0,6.0,2.0,113.0,64.0,47.0,30.0,21.0,0.0,3.0,5.0,6.0,131.0,90.0,59.0,22.0,20.0,9.0,15.0,3.0,8130.0,5.0,6445.0,2024.0,,,,,,,,,,,,,0.6391,0.7629,0.5529,0.0706,0.6594,0.7567,0.5121,0.1217,ATP
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,226.0,207989.0,3.0,,Carlos Alcaraz,R,183.0,ESP,21.1,104925.0,2.0,,Novak Djokovic,R,188.0,SRB,37.1,6-2 6-2 7-6(4),5.0,F,147.0,5.0,6.0,95.0,56.0,47.0,20.0,14.0,2.0,3.0,8.0,4.0,101.0,71.0,47.0,12.0,14.0,9.0,14.0,3.0,8130.0,2.0,8360.0,2024.0,,,,,,,,,,,,,0.6391,0.7629,0.5529,0.0706,0.6585,0.7922,0.5938,0.1021,ATP
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,225.0,104925.0,2.0,,Novak Djokovic,R,188.0,SRB,37.1,207518.0,25.0,,Lorenzo Musetti,R,185.0,ITA,22.3,6-4 7-6(2) 6-4,5.0,SF,168.0,6.0,4.0,103.0,69.0,52.0,15.0,16.0,2.0,4.0,2.0,1.0,111.0,82.0,50.0,12.0,16.0,9.0,13.0,2.0,8360.0,25.0,1620.0,2024.0,,,,,,,,,,,,,0.6585,0.7922,0.5938,0.1021,0.6501,0.7428,0.5469,0.0612,ATP
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,223.0,104925.0,2.0,,Novak Djokovic,R,188.0,SRB,37.1,200282.0,9.0,,Alex De Minaur,R,183.0,AUS,25.3,W/O,5.0,QF,,,,,,,,,,,,,,,,,,,,2.0,8360.0,9.0,3830.0,2024.0,,,,,,,,,,,,,0.6585,0.7922,0.5938,0.1021,0.563,0.7641,0.5454,0.0517,ATP
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,211.0,104925.0,2.0,,Novak Djokovic,R,188.0,SRB,37.1,200615.0,,,Alexei Popyrin,R,196.0,AUS,24.9,4-6 6-3 6-4 7-6(3),5.0,R32,185.0,19.0,3.0,113.0,78.0,69.0,21.0,21.0,1.0,2.0,19.0,4.0,133.0,98.0,72.0,16.0,20.0,6.0,8.0,2.0,8360.0,47.0,981.0,2024.0,,,,,,,,,,,,,0.6585,0.7922,0.5938,0.1021,0.6706,0.7691,0.5008,0.126,ATP
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,221.0,207989.0,3.0,,Carlos Alcaraz,R,183.0,ESP,21.1,126205.0,12.0,,Tommy Paul,R,185.0,USA,27.1,5-7 6-4 6-2 6-2,5.0,QF,191.0,7.0,2.0,119.0,73.0,48.0,29.0,19.0,6.0,10.0,2.0,2.0,136.0,82.0,47.0,27.0,19.0,19.0,27.0,3.0,8130.0,13.0,3100.0,2024.0,,,,,,,,,,,,,0.6391,0.7629,0.5529,0.0706,0.6177,0.7615,0.5594,0.0888,ATP
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,185.0,126214.0,24.0,,Alejandro Tabilo,L,188.0,CHI,27.0,207925.0,,,Flavio Cobolli,R,183.0,ITA,22.1,7-6(4) 7-6(4) 4-6 4-6 6-4,5.0,R64,233.0,15.0,5.0,176.0,112.0,87.0,35.0,27.0,7.0,10.0,15.0,8.0,168.0,83.0,65.0,52.0,27.0,5.0,7.0,19.0,1904.0,48.0,980.0,2024.0,,,,,,,,,,,,,0.6478,0.7942,0.4934,0.0993,0.5339,0.7625,0.559,0.0874,ATP
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,184.0,126203.0,13.0,,Taylor Fritz,R,196.0,USA,26.6,126239.0,,,Arthur Rinderknech,R,196.0,FRA,28.9,6-3 6-4 3-6 6-4,5.0,R64,137.0,15.0,2.0,101.0,60.0,49.0,27.0,19.0,3.0,4.0,17.0,6.0,115.0,70.0,58.0,18.0,19.0,5.0,8.0,12.0,3350.0,76.0,754.0,2024.0,,,,,,,,,,,,,0.6391,0.8299,0.588,0.1689,0.6368,0.8011,0.4471,0.1486,ATP
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,183.0,200325.0,,,Emil Ruusuvuori,R,188.0,FIN,25.2,126774.0,11.0,,Stefanos Tsitsipas,R,193.0,GRE,25.8,7-6(6) 7-6(10) 3-6 6-3,5.0,R64,167.0,7.0,5.0,132.0,89.0,71.0,23.0,20.0,1.0,3.0,20.0,6.0,135.0,91.0,73.0,22.0,21.0,4.0,6.0,87.0,683.0,11.0,3745.0,2024.0,,,,,,,,,,,,,0.6273,0.7424,0.5702,0.0774,0.6539,0.7899,0.5843,0.1099,ATP
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,182.0,208659.0,,LL,Giovanni Mpetshi Perricard,R,203.0,FRA,20.9,106415.0,,,Yoshihito Nishioka,L,170.0,JPN,28.7,6-4 6-1 6-2,5.0,R64,71.0,27.0,4.0,65.0,45.0,40.0,13.0,13.0,2.0,2.0,2.0,0.0,67.0,50.0,29.0,8.0,12.0,2.0,7.0,58.0,853.0,90.0,659.0,2024.0,,,,,,,,,,,,,0.6825,0.8215,0.5071,0.2389,0.656,0.6857,0.5699,0.0383,ATP
